Transaction_ID,City,Date,Card_Type,Expense_Type,Gender,Amount
0,"Delhi, India",2014-10-29,Gold,Bills,Female,82475
1,"Mumbai, India",2014-08-22,Platinum,Bills,Female,32555
2,"Bengaluru, India",2014-08-27,Silver,Bills,Female,101738
3,"Mumbai, India",2014-04-12,Signature,Bills,Female,123424
4,"Bengaluru, India",2015-05-05,Gold,Bills,Female,171574
5,"Delhi, India",2014-09-08,Silver,Bills,Female,100036
6,"Delhi, India",2015-02-24,Gold,Bills,Female,143250
7,"Mumbai, India",2014-06-26,Platinum,Bills,Female,150980
8,"Delhi, India",2014-03-28,Silver,Bills,Female,192247
9,"Delhi, India",2014-09-01,Platinum,Bills,Female,67932
10,"Delhi, India",2014-06-22,Platinum,Bills,Female,280061
11,"Mumbai, India",2013-12-07,Signature,Bills,Female,278036
12,"Mumbai, India",2014-08-07,Gold,Bills,Female,19226
13,"Delhi, India",2014-04-27,Signature,Bills,Female,254359
14,"Mumbai, India",2014-08-15,Signature,Bills,Female,302834
15,"Mumbai, India",2014-11-28,Platinum,Bills,Female,647116
16,"Mumbai, India",2014-06-14,Signature,Bills,Female,421878
17,"Mumbai, India",2015-03-30,Gold,Bills,Female,986379
18,"Mumbai, India",2014-03-15,Platinum,Bills,Female,213047
19,"Mumbai, India",2013-11-09,Platinum,Bills,Female,735566
20,"Delhi, India",2014-04-04,Signature,Bills,Female,366102
21,"Delhi, India",2014-07-01,Signature,Bills,Female,809623
22,"Mumbai, India",2015-03-27,Silver,Bills,Female,467014
23,"Ahmedabad, India",2013-10-11,Gold,Bills,Female,668568
24,"Ahmedabad, India",2014-03-26,Gold,Bills,Female,339112
25,"Delhi, India",2014-09-27,Silver,Bills,Female,622170
26,"Bengaluru, India",2014-03-23,Platinum,Bills,Female,434427
27,"Mumbai, India",2014-05-17,Signature,Bills,Female,655846
28,"Bengaluru, India",2015-01-18,Platinum,Bills,Female,987935
29,"Delhi, India",2015-04-18,Gold,Bills,Female,702774
30,"Bengaluru, India",2014-07-31,Signature,Bills,Female,225392
31,"Mumbai, India",2015-02-11,Gold,Bills,Female,296573
32,"Ahmedabad, India",2013-11-24,Platinum,Bills,Female,227702
33,"Ahmedabad, India",2014-11-08,Gold,Bills,Female,864090
34,"Ahmedabad, India",2014-09-06,Signature,Bills,Female,440605
35,"Ahmedabad, India",2015-03-24,Platinum,Bills,Female,954660
36,"Ahmedabad, India",2014-01-01,Signature,Bills,Female,255577
37,"Ahmedabad, India",2014-07-12,Silver,Bills,Female,337352
38,"Ahmedabad, India",2014-02-04,Platinum,Bills,Female,660244
39,"Delhi, India",2015-02-03,Silver,Bills,Female,401351
40,"Delhi, India",2013-10-27,Platinum,Bills,Female,678842
41,"Delhi, India",2014-05-11,Gold,Bills,Female,478861
42,"Bengaluru, India",2014-11-10,Platinum,Bills,Female,804938
43,"Delhi, India",2015-01-30,Silver,Bills,Female,888341
44,"Bengaluru, India",2014-04-19,Platinum,Bills,Female,262414
45,"Bengaluru, India",2014-09-08,Gold,Bills,Female,249353
46,"Ahmedabad, India",2013-12-10,Gold,Bills,Female,892016
47,"Ahmedabad, India",2013-11-04,Platinum,Bills,Female,313626
48,"Mumbai, India",2014-06-01,Gold,Bills,Female,314366
49,"Mumbai, India",2014-04-27,Signature,Bills,Female,551340
50,"Delhi, India",2013-10-04,Signature,Bills,Female,735037
51,"Mumbai, India",2014-12-31,Platinum,Bills,Female,574023
52,"Ahmedabad, India",2013-12-21,Signature,Bills,Female,402300
53,"Delhi, India",2013-12-07,Signature,Bills,Female,733125
54,"Mumbai, India",2014-02-07,Signature,Bills,Female,545977
55,"Bengaluru, India",2015-05-13,Silver,Bills,Female,371572
56,"Ahmedabad, India",2015-01-28,Signature,Bills,Female,326283
57,"Delhi, India",2014-12-09,Platinum,Bills,Female,279051
58,"Delhi, India",2013-10-08,Platinum,Bills,Female,900101
59,"Ahmedabad, India",2014-04-24,Silver,Bills,Female,545286
60,"Delhi, India",2015-01-13,Platinum,Bills,Female,722587
61,"Bengaluru, India",2014-03-14,Platinum,Bills,Female,411062
62,"Delhi, India",2014-02-27,Platinum,Bills,Female,660910
63,"Mumbai, India",2013-10-29,Signature,Bills,Female,557370
64,"Mumbai, India",2014-06-22,Platinum,Bills,Female,549794
65,"Delhi, India",2014-01-23,Platinum,Bills,Female,340133
66,"Bengaluru, India",2013-11-10,Gold,Bills,Female,265417
67,"Mumbai, India",2013-12-13,Platinum,Bills,Female,358185
68,"Mumbai, India",2014-03-22,Gold,Bills,Female,991685
69,"Mumbai, India",2015-01-13,Gold,Bills,Female,533762
70,"Mumbai, India",2014-05-08,Gold,Bills,Female,829742
71,"Delhi, India",2014-02-18,Silver,Bills,Female,441527
72,"Delhi, India",2013-10-04,Signature,Bills,Female,550782
73,"Mumbai, India",2014-06-14,Platinum,Bills,Female,835872
74,"Ahmedabad, India",2014-08-24,Silver,Bills,Female,540497
75,"Mumbai, India",2015-04-02,Platinum,Bills,Female,525977
76,"Mumbai, India",2014-06-27,Gold,Bills,Female,789393
77,"Mumbai, India",2015-02-06,Platinum,Bills,Female,689478
78,"Bengaluru, India",2014-03-29,Silver,Bills,Female,499079
79,"Ahmedabad, India",2014-04-22,Platinum,Bills,Female,665107
80,"Mumbai, India",2014-10-14,Platinum,Bills,Female,998077
81,"Ahmedabad, India",2014-02-02,Silver,Bills,Female,934205
82,"Bengaluru, India",2015-04-01,Platinum,Bills,Female,823426
83,"Ahmedabad, India",2015-01-13,Signature,Bills,Female,282910
84,"Bengaluru, India",2014-03-27,Gold,Bills,Female,418675
85,"Ahmedabad, India",2015-02-17,Silver,Bills,Female,804949
86,"Bengaluru, India",2015-02-10,Gold,Bills,Female,686601
87,"Mumbai, India",2014-02-26,Silver,Bills,Female,561220
88,"Mumbai, India",2015-05-07,Gold,Bills,Female,762534
89,"Bengaluru, India",2014-01-05,Gold,Bills,Female,327947
90,"Bengaluru, India",2014-04-07,Gold,Bills,Female,492986
91,"Delhi, India",2015-02-20,Signature,Bills,Female,369237
92,"Bengaluru, India",2015-01-19,Platinum,Bills,Female,983839
93,"Ahmedabad, India",2014-11-14,Gold,Bills,Female,776716
94,"Mumbai, India",2014-07-21,Gold,Bills,Female,664632
95,"Bengaluru, India",2015-02-03,Gold,Bills,Female,466727
96,"Bengaluru, India",2013-11-01,Gold,Bills,Female,896384
97,"Delhi, India",2013-12-07,Signature,Bills,Female,712001
98,"Mumbai, India",2014-08-05,Silver,Bills,Female,246865
99,"Mumbai, India",2015-01-08,Signature,Bills,Female,858729
100,"Delhi, India",2015-04-11,Platinum,Bills,Female,581882
101,"Mumbai, India",2015-02-15,Signature,Bills,Female,646426
102,"Bengaluru, India",2015-03-24,Silver,Bills,Female,687088
103,"Bengaluru, India",2013-10-13,Signature,Bills,Female,973026
104,"Mumbai, India",2015-04-24,Silver,Bills,Female,944398
105,"Ahmedabad, India",2014-11-09,Platinum,Bills,Female,414422
106,"Bengaluru, India",2015-02-04,Signature,Bills,Female,408503
107,"Bengaluru, India",2014-03-06,Signature,Bills,Female,984466
108,"Mumbai, India",2014-03-27,Gold,Bills,Female,919997
109,"Mumbai, India",2013-11-13,Signature,Bills,Female,535101
110,"Mumbai, India",2013-10-22,Signature,Bills,Female,978301
111,"Mumbai, India",2014-09-27,Gold,Bills,Female,880406
112,"Ahmedabad, India",2014-11-14,Silver,Bills,Female,447241
113,"Bengaluru, India",2013-10-21,Platinum,Bills,Female,382191
114,"Bengaluru, India",2015-05-15,Silver,Bills,Female,775859
115,"Bengaluru, India",2014-03-21,Platinum,Bills,Female,832637
116,"Bengaluru, India",2015-04-03,Platinum,Bills,Female,458526
117,"Ahmedabad, India",2015-04-06,Signature,Bills,Female,440995
118,"Ahmedabad, India",2013-11-05,Platinum,Bills,Female,490128
119,"Delhi, India",2013-10-07,Platinum,Bills,Female,897079
120,"Delhi, India",2014-10-31,Gold,Bills,Female,431948
121,"Bengaluru, India",2014-04-03,Silver,Bills,Female,228072
122,"Delhi, India",2013-11-21,Gold,Bills,Female,757649
123,"Delhi, India",2014-05-11,Signature,Bills,Female,919877
124,"Mumbai, India",2014-05-23,Gold,Bills,Female,605615
125,"Bengaluru, India",2015-05-22,Platinum,Bills,Female,500852
126,"Mumbai, India",2015-02-15,Signature,Bills,Female,488136
127,"Delhi, India",2014-06-16,Gold,Bills,Female,937828
128,"Delhi, India",2014-01-27,Gold,Bills,Female,315873
129,"Mumbai, India",2015-05-20,Silver,Bills,Female,567623
130,"Mumbai, India",2013-10-29,Platinum,Bills,Female,555123
131,"Bengaluru, India",2014-04-20,Gold,Bills,Female,498843
132,"Mumbai, India",2014-05-23,Silver,Bills,Female,752610
133,"Mumbai, India",2015-03-11,Platinum,Bills,Female,494540
134,"Delhi, India",2013-10-27,Gold,Bills,Female,996754
135,"Ahmedabad, India",2014-07-14,Signature,Bills,Female,245572
136,"Delhi, India",2014-04-18,Gold,Bills,Female,974384
137,"Ahmedabad, India",2014-03-25,Silver,Bills,Female,846635
138,"Ahmedabad, India",2014-09-01,Silver,Bills,Female,635473
139,"Delhi, India",2015-03-23,Gold,Bills,Female,224510
140,"Delhi, India",2015-01-24,Silver,Bills,Female,478671
